id,genus_and_species,taxonomy_id,strain,superkingdom,phylum,org_class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,r16S_accssion,r16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
2210,Leucobacter ruminantium,1289170,A2,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,,67,,KC107829,56.6,25,38.5,37,40,45,20
2211,Veillonella magna,464322,lac18,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,,,,EU096495,54.3,21,38.5,37,40,45,24
2212,Marinobacter oulmenensis,643747,Set74,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,57.4,,FJ897726,54.8,30,38.5,37,40,45,15
2213,Idiomarina insulisalsae,575789,CVS-6,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,51.6,,FM877003,53.8,10,38.5,37,40,45,35
2214,Lentibacillus salinarum,446820,AHS-1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lentibacillus,,49,,EF601571,55.4,15,38.5,37,40,45,30
2215,Alloscardovia omnicolens,419015,CCUG 31649,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,,48,,NR_042583,56.5,28,38.5,37,40,45,17
2216,Bacillus subterraneus,285983,COOI3B,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,AY672638,55.9,20,38.5,37,40,45,25
2217,Halolactibacillus miurensis,306541,M23-1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halolactibacillus,,38.5,,AB196784,53.7,5,38.5,37,40,45,40
2218,Clostridium colicanis,179628, 3WC2,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,31.7,,AJ420008,53,30,38.5,37,40,45,15
2219,Haliangium tepidum,162028,SMP-10,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Kofleriaceae,Haliangium,,69,,AB062751,58.1,27,38.5,37,40,45,18
2220,Sporobacterium olearium,100133,SR1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Sporobacterium,,38,,AF116854,52.8,25,38.5,37,40,45,20
2221,Halorubrum halophilum,413816,B8,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,64.6,,EF077637,58.1,20,37.5,35,40,45,25
2222,Halococcus qingdaonensis,224402,CM5,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,,61.2,,AY243109,59.2,26,37.5,35,40,45,19
2223,Methanothrix soehngenii,2223,GO6,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanotrichaceae,Methanothrix,GCA_000204415.1,51,3,CP002565,55.2,10,37.5,35,40,45,35
2224,Methanosarcina acetivorans,2214,ATCC35395,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,GCA_000007345.1,42.7,5.8,M59137,56,15,37.5,35,40,45,30
2225,Domibacillus epiphyticus,1714355,SAB 38,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Domibacillus,,41.5,,LN879432,55.8,20,37.5,35,40,45,25
2226,Proteiniphilum saccharofermentans,1642647,M3/6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Proteiniphilum,GCA_900095135.1,43.6,4.4,KP233809,53.6,15,37.5,35,40,45,30
2227,Geodermatophilus sabuli,1564158,BMG8133,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,,74.5,,LN626269,59.1,25,37.5,35,40,45,20
2228,Macellibacteroides fermentans,879969,LIND7H,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Macellibacteroides,,41.4,,HQ020488,52.4,20,37.5,35,40,45,25
2229,Oceanicaulis stylophorae,763065,GISW-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Oceanicaulis,,61.6,,HM035090,56,15,37.5,35,40,45,30
2230,Succinatimonas hippei,626938,YIT 12066,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,,40.3,,AB490810,55.5,30,37.5,35,40,45,15
2231,Tessaracoccus profundi,566569,CB31,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,,68,,FJ228690,56.6,10,37.5,35,40,45,35
2232,Pontibacillus yanchengensis,462910,Y32,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Pontibacillus,,40.3,,EF533969,55.7,15,37.5,35,40,45,30
2233,Azoarcus olearius,418699,DQS-4,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus,GCA_001682385.1,67.8,4.5,EF158388,55.6,10,37.5,35,40,45,35
2234,Paenibacillus gansuensis,306542,B518,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,50,,AY839866,55.1,10,37.5,35,40,45,35
2235,Sporotomaculum syntrophicum,182264,FB,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Sporotomaculum,,46.8,,AB076610,55.2,28,37.5,35,40,45,17
2236,Vibrio diabolicus,50719,HE800,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,GCA_002953395.1,44.8,5.4,X99762,54.4,20,37.5,35,40,45,25
2237,Halanaerobium kushneri,56779,VS-751,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,,34.1,,U86446,51.5,20,37.5,35,40,45,25
2238,Guyparkeria hydrothermalis,923,ATCC 51453,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Thioalkalibacteraceae,Guyparkeria,,67.3,,M90662,55.1,11,37.5,35,40,45,34
2239,Sphaerimonospora mesophila,37483,JCM 3151,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Sphaerimonospora,,71.1,,AF002266,59.8,20,37.5,35,40,45,25
2240,Bacillus fermenti,1920257,Bf-1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,41.7,,LC197810,55.2,15,36.5,33,40,45,30
2241,Aridibacter nitratireducens,1911421,A24_SHP_-5_238,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter,,53.5,,KX443571,50.4,8,36.5,33,40,45,37
2242,Dermabacter jinjuensis,1667168,32,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Dermabacter,GCA_002443115.1,62.9,2.4,KT036432,56.9,20,35,30,40,45,25
2243,Bacillus oryziterrae,1191699,ZYK,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,36.1,,JX103165,54.7,21,35,30,40,45,24
2244,Aliidiomarina taiwanensis,946228,AIT1,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Aliidiomarina,,51.5,,HQ537484,53.4,4,35,30,40,45,41
2245,Oceanobacillus caeni,405946,S-11,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,,33.6,,AB275883,53,20,35,30,40,45,25
2246,Staphylococcus capitis,29388,LK499,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_001028645.1,32.9,2.5,L37599,51.5,18,35,30,40,45,27
2247,Staphylococcus auricularis,29379,WK 811M,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_900478415.1,37.4,2.2,D83358,52.1,20,35,30,40,45,25
2248,Clostridium sporogenes,1509,ATCC 3584,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_001020205.1,28,4.1,M59115,49.1,25,35,30,40,45,20
2249,Staphylococcus warneri,1292,AW25,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_900636385.1,32.8,2.4,L37603,51.2,15,35,30,40,45,30
2250,Staphylococcus hominis,1290,ATCC 27844,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,33,,L37601,51.4,20,35,30,40,45,25
2251,Staphylococcus intermedius,1285,H 11/68,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,33.5,,D83369,52,15,35,30,40,45,30
2252,Staphylococcus haemolyticus,1283,ATCC 29970,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_000009865.1,32.8,2.7,D83367,51.4,18,35,30,40,45,27
2253,Staphylococcus carnosus,1281,361,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_000009405.1,34.6,2.6,AB009934,52.2,15,35,30,40,45,30
2254,Flavobacterium cloacae,1852970,wh15,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,32.3,,KU746272,49.2,15,32.5,25,40,45,30
2255,Paenibacillus pinisoli,1276110,KACC 17472,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,54.5,,KC415175,54.9,15,32.5,25,40,45,30
2256,Staphylococcus simulans,1286,MK148,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_001559115.2,36,2.6,D83373,52.2,15,32.5,25,40,45,30
2257,Methanobacterium subterraneum,59277,A8p,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,GCA_002813695.1,39.4,2.5,X99044,55.5,4,30,20,40,45,41
2258,Massilia agri,1886785,K-3-1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,,66.8,,KX672812,54.3,4,30,20,40,45,41
2259,Sphingobium naphthae,1886786,K-3-6,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,,65.6,,KX672813,54.8,15,30,20,40,45,30
2260,Chryseobacterium nepalense,1854498,C-5-3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,38.6,,KX129820,49.9,10,30,20,40,45,35
2261,Glucerabacter canisensis,1912090,NATH-2371,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Glucerabacter,,36.9,,LC191811,52.3,30,38,37,39,45,15
2262,Agathobacter ruminis,1712665,JK623,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,,41.8,,KT229569,53.4,25,37,35,39,45,20
2263,Bacillus berkeleyi,1069813,KMM 6244,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,39.4,,JN187498,55.4,4,35.5,32,39,45,41
2264,Actinoallomurus oryzae,502180,GMKU 370,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,,65.4,,EU420071,59.3,21,35.5,32,39,45,24
2265,Alkalispirillum mobile,85925,SL-1,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalispirillum,,,,AF114783,57.8,30,36.5,35,38,45,15
2266,Marinobacter adhaerens,1033846,HP15,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,56.9,,AY241552,55.5,4,36,34,38,45,41
2267,Eisenbergiella tayi,1432052,B086562,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,,46,,KF814111,53.4,15,38,39,37,45,30
2268,Polygonibacillus indicireducens,1652101,In2-9,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Polygonibacillus,,39.4,,LC054224,55.1,13,36,35,37,45,32
2269,Virgibacillus oceani,1479511,MY11,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,,34.2,,KJ144820,55.1,15,36,35,37,45,30
2270,Gaiella occulta,1002870,F2-233,Bacteria,Actinobacteria,Rubrobacteria,Gaiellales,Gaiellaceae,Gaiella,,71.6,,JF423906,58.3,15,36,35,37,45,30
2271,Gracilibacillus ureilyticus,531814,MF38,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Gracilibacillus,,35.3,,EU709020,55.4,10,36,35,37,45,35
2272,Marinobacter salsuginis,418719,SD-14B,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,55.9,,EF028328,55.6,10,36,35,37,45,35
2273,Sporomusa intestinalis,316996,Tc2A,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa,,51,,AB206386,54.6,15,36,35,37,45,30
2274,Pseudoramibacter alactolyticus,113287,ATCC 23263,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Pseudoramibacter,,61,,AB036759,52.8,25,36,35,37,45,20
2275,Bacteroides uniformis,820,ATCC 8492,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,GCA_006742345.1,46.2,5,L16486,51,25,36,35,37,45,20
2276,Methanosaeta harundinacea,301375,8Ac,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanotrichaceae,Methanothrix,GCA_000235565.1,60.6,2.6,AY817738,56.4,25,35.5,34,37,45,20
2277,Methanobacterium palustre,2171,F,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,34,,NR_114485,53,20,35,33,37,45,25
2278,Aliifodinibius halophilus,1736908,2W32,Bacteria,Balneolaeota,Balneolia,Balneolales,Balneolaceae,Aliifodinibius,,47.5,,KR559733,55.6,20,35,33,37,45,25
2279,Halofilum ochraceum,1611323, XJ16,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halofilum,,65.9,,KP052777,56.9,20,35,33,37,45,25
2280,Oceanobacillus aidingensis,645964,AD7-25,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,,39.8,,FJ428529,54.4,4,35,33,37,45,41
2281,Neisseria elongata,495,M2,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,GCA_000818035.1,54.3,2.3,L06171,53.6,20,35,33,37,45,25
2282,Halotalea alkalilenta,376489, AW-7,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halotalea,GCA_001648175.1,64.3,4.4,DQ421388,56.3,5,34.5,32,37,45,40
2283,Halorubrum cibi,413815,B31,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,61.7,,EF077639,58.5,17,33.5,30,37,45,28
2284,Methanobrevibacter arboriphilus,39441,DH1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,28.6,,AY196665,53.7,10,33.5,30,37,45,35
2285,Rheinheimera pleomorphica,2703963,PKS7,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,,50.7,,KJ563231,53.4,4,33.5,30,37,45,41
2286,Parapedobacter defluvii,2045106,WY-1,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Parapedobacter,,47.1,,KY612414,56.9,15,33.5,30,37,45,30
2287,Micromonospora globbae,1894969,WPS1-2,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,,73.7,,LC177396,60.7,20,33.5,30,37,45,25
2288,Roseitalea porphyridii,1852022,MA7-20,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Roseitalea,GCA_004331955.1,66.6,3.5,KX268598,56.1,15,33.5,30,37,45,30
2289,Pontibacter litorisediminis,1846260,YKTF-7,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,,54,,KX198137,57.6,10,33.5,30,37,45,35
2290,Clostridium sordelli,1796621,ATCC 9714,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,26,,AB075771,53.7,25,33.5,30,37,45,20
2291,Roseomonas rubra,1783359,S5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,,73.5,,LT009499,58.1,12,33.5,30,37,45,33
2292,Streptomyces verrucosisporus,1695161,CPB1-1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,,,LC069041,60.2,20,33.5,30,37,45,25
2293,Croceicoccus pelagius,1703341,Ery9,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceicoccus,,62.8,,KT383844,54.2,15,33.5,30,37,45,30
2294,Croceicoccus mobilis,1703339,Ery22,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceicoccus,,62.5,,KT383846,54.2,15,33.5,30,37,45,30
2295,Nocardiopsis synnemasporogenes,1481650,NEAE-85,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,,,KJ200340,58.3,10,33.5,30,37,45,35
2296,Bacillus glycinifermentans,1664069,GO-13,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_900093775.1,46.1,4.6,HQ224517,54.9,15,33.5,30,37,45,30
2297,Bacillus crescens,1563637,JC247 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,48.2,,LN625239,55.1,18,33.5,30,37,45,27
2298,Pseudoxanthomonas sangjuensis,1503750,5GH38-5,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,,71.1,,KJ607172,55.7,15,33.5,30,37,45,30
2299,Paenibacillus cathormii,1539108,BK114-2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,52,,AB979873,55.3,15,33.5,30,37,45,30
2300,Halovulum dunhuangense,1505036,YYQ-30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Halovulum,,71.7,,KJ191196,55.4,10,33.5,30,37,45,35
2301,Clostridium algifaecis,1472040,MB9-7,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,28.3,,KJ001788,53.9,20,33.5,30,37,45,25
2302,Prauserella isguenensis,1470180,H225,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Prauserella,,70.4,,KJ504173,58.7,20,33.5,30,37,45,25
2303,Oceanobacillus massiliensis,1465765,Ndiop,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,,36.7,,HQ586887,54.7,25,33.5,30,37,45,20
2304,Dethiosulfatarculus sandiegensis,1429043,SPR,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Dethiosulfatarculus,,52,,KP868755,54.2,15,33.5,30,37,45,30
2305,Idiomarina woesei,1381080,W11,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,41.2,,KF487034,53.5,10,33.5,30,37,45,35
2306,Methyloversatilis thermotolerans,1346290,3t,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Methyloversatilis,,63.6,,KC782839,55.9,10,33.5,30,37,45,35
2307,Melaminivora jejuensis,1267217,KBB12,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Melaminivora,,69.6,,JX997988,56.1,15,33.5,30,37,45,30
2308,Bacillus australimaris,1326968,NH7I_1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,41.3,,JX680098,55,8,33.5,30,37,45,37
2309,Nafulsella turpanensis,1265690,ZLM-10,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Nafulsella,,45.4,,JN899241,53,10,33.5,30,37,45,35
2310,Fuchsiella ferrireducens,1242948,Z-7101,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Fuchsiella,,34.6,,JX566886,52.7,25,33.5,30,37,45,20
2311,Sphingomicrobium marinum,1227950,CC-AMZ-30M,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomicrobium,,64.2,,JX235672,53.8,20,33.5,30,37,45,25
2312,Sphingomicrobium astaxanthinifaciens,1227949,CC-AMO-30B,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomicrobium,,70.6,,JX235675,54.7,20,33.5,30,37,45,25
2313,Bacillus zhangzhouensis,1178540,DW5-4,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,41.4,,JX680133,55.1,8,33.5,30,37,45,37
2314,Ruegeria arenilitoris,1173585,G-M8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,,64.6,,JQ807219,55.5,4,33.5,30,37,45,41
2315,Imtechella halotolerans,1165090,K1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Imtechella,,46.1,,FR774044,50.7,20,33.5,30,37,45,25
2316,Chryseobacterium taihuense,1141221,THMBM1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,36.8,,JQ283114,50.7,15,33.5,30,37,45,30
2317,Idiomarina piscisalsi,1096243,TPS4-2,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,GCA_002211765.1,47.4,2.6,AB619724,54.3,25,33.5,30,37,45,20
2318,Bacillus coreaensis,1081598,MS5,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,43,,JN578481,55,10,33.5,30,37,45,35
2319,Brevibacterium ravenspurgense,479117,5401308,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,,,,EU868814,57.1,25,33.5,30,37,45,20
2320,Microbulbifer yueqingensis,658219,Y226,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,Microbulbifer,,56.7,,GQ262813,55.2,15,33.5,30,37,45,30
2321,Chitiniphilus shinanonensis,553088,SAY3,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chitiniphilus,,67.6,,AB453176,56,15,33.5,30,37,45,30
2322,Staphylococcus massiliensis,555791,5402776,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,36.6,,EU707796,51.9,25,33.5,30,37,45,20
2323,Oceanobacillus locisalsi,546107,CHL-21,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,,39.8,,EU817570,54.7,10,33.5,30,37,45,35
2324,Bacillus korlensis,519977,ZLC-26,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,38.2,,EU603328,54,7,33.5,30,37,45,38
2325,Marinobacter segnicrescens,430453,SS011B1-4 ,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,62.2,,EF157832,55.4,15,33.5,30,37,45,30
2326,Lysinibacillus massiliensis,292806,4400831,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,,,,AY677116,54,25,33.5,30,37,45,20
2327,Gulbenkiania indica,375574,HT27,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Gulbenkiania,,63,,DQ415656,55.7,15,33.5,30,37,45,30
2328,Pontibacter korlensis,400092,X14-1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,GCA_000973725.1,47.3,5.5,DQ888330,57.5,7,33.5,30,37,45,38
2329,Epibacterium mobile,379347,MBIC01146,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Epibacterium,GCA_000376545.2,58.7,4.8,AB255401,54.9,5,33.5,30,37,45,40
2330,Thiomonas bhubaneswarensis,339866,S10,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Thiomonas,,64.8,,DQ092334,55.6,25,33.5,30,37,45,20
2331,Halobacillus salinus,192814,HSL-3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,45,,AF500003,55.5,10,33.5,30,37,45,35
2332,Gordonia paraffinivorans,175628,HD321,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,,66,,AF432348,57.7,20,33.5,30,37,45,25
2333,Rhodococcus pyridinivorans,103816,PDB9,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,GCA_000511305.1,67.8,5.6,AF191343,58.4,10,33.5,30,37,45,35
2334,Paenibacillus chinjuensis,103815,WN9,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,53,,AF164345,56.4,20,33.5,30,37,45,25
2335,Halomonas halophila,29573,CCM3662,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,66.7,,L42619,54.5,15,33.5,30,37,45,30
2336,Clostridium sartagoforme,84031,ATCC 25778,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,28,,Y18175,52.5,25,33.5,30,37,45,20
2337,Mycolicibacterium mageritense,53462,938,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,,,,AJ699399,58.9,22,33.5,30,37,45,23
2338,Asaccharospora irregularis,29359,ATCC 25756,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Asaccharospora,,,,X73447,53,25,33.5,30,37,45,20
2339,Halomonas elongata,2746,1H9 ,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_000196875.2,63.6,4.1,M93355,55,4,33.5,30,37,45,41
2340,Alkalibacterium iburiense,290589,M3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium,,42.9,,AB188091,54,5,33.5,30,37,45,40
2341,Providencia thailandensis,990144,C1112,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,,41,,NR_126224,53.1,15,33.5,30,37,45,30
2342,Clostridium cadaveris,1529,ATCC 25783,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,27,,M59086,50,25,33.5,30,37,45,20
2343,Acetoanaerobium sticklandii,1511,StadtmanHF,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Acetoanaerobium,GCA_000196455.1,33.3,2.7,M26494,51.9,25,33.5,30,37,45,20
2344,Staphylococcus epidermidis,1282,Fussel,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_006094375.1,32.2,2.5,D83363,51.5,15,33.5,30,37,45,30
2345,Acidaminococcus fermentans,905,VR4,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,GCA_000025305.1,55.8,2.3,X65935,53.7,25,33.5,30,37,45,20
2346,Leptospirillum ferrooxidans,180,L15,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,GCA_000284315.1,50,2.6,X86776,56.3,10,33.5,30,37,45,35
